Date,Open,High,Low,Close,Adj Close,Volume
2018-03-22,21.860001,22.040001,21.580000,21.719999,20.151194,50033300
2018-03-23,21.610001,22.110001,21.530001,21.750000,20.179026,52815800
2018-03-26,22.070000,22.200001,21.840000,22.030001,20.438803,30174900
2018-03-27,22.139999,22.180000,21.370001,21.440001,19.891417,43568100
2018-03-28,21.260000,21.410000,20.990000,21.200001,19.668749,38539300
2018-03-29,21.260000,21.559999,21.230000,21.410000,19.863581,34318800
2018-04-02,21.360001,21.459999,20.770000,20.900000,19.390421,37275000
2018-04-03,21.110001,21.190001,20.660000,20.709999,19.214142,39245800
2018-04-04,20.309999,20.600000,20.110001,20.379999,18.907978,58475700
2018-04-05,21.150000,21.330000,21.030001,21.150000,19.622362,88599000
2018-04-06,20.980000,21.280001,20.830000,21.280001,19.742971,47908900
2018-04-09,21.430000,21.440001,20.530001,20.530001,19.047144,44248900
2018-04-10,20.910000,21.510000,20.760000,21.400000,19.854305,58545100
2018-04-11,21.350000,21.900000,21.330000,21.799999,20.225410,62378300
2018-04-12,21.790001,21.940001,21.680000,21.680000,20.114077,36238700
2018-04-13,21.639999,21.740000,21.059999,21.200001,19.668749,43347800
2018-04-16,21.049999,21.240000,20.600000,20.620001,19.130644,48474200
2018-04-17,20.700001,21.080000,20.620001,21.030001,19.511028,36570400
2018-04-18,21.350000,21.870001,21.309999,21.799999,20.225410,65237400
2018-04-19,22.070000,22.400000,21.930000,22.200001,20.596523,62475200
2018-04-20,22.059999,22.459999,21.900000,22.360001,20.744967,61494800
2018-04-23,22.090000,22.480000,21.940001,22.480000,20.856297,37023300
2018-04-24,22.600000,22.770000,22.230000,22.400000,20.782076,46710300
2018-04-25,22.010000,22.129999,21.670000,21.730000,20.160465,68160600
2018-04-26,22.000000,22.629999,21.969999,22.629999,20.995462,56674700
2018-04-27,22.840000,22.930000,22.660000,22.709999,21.069685,37858300
2018-04-30,22.730000,23.020000,22.629999,22.969999,21.310905,23681500
2018-05-02,22.670000,22.930000,22.510000,22.600000,20.967634,31778100
2018-05-03,22.540001,22.639999,21.969999,22.450001,20.828466,48855700
2018-05-04,22.450001,22.639999,22.270000,22.270000,20.661467,33599400
2018-05-07,22.570000,23.170000,22.490000,22.650000,21.014021,47815100
2018-05-08,23.059999,23.150000,22.520000,22.910000,21.255241,81198700
2018-05-09,23.299999,24.799999,23.219999,24.780001,22.990173,118032300
2018-05-10,25.139999,26.490000,24.920000,25.750000,23.890110,126907200
2018-05-11,25.830000,26.309999,25.420000,25.440001,23.602503,72996400
2018-05-14,25.850000,26.480000,25.809999,26.240000,24.344717,66938700
2018-05-15,26.350000,26.900000,25.889999,26.790001,24.854994,75230200
2018-05-16,26.870001,27.530001,26.840000,27.389999,25.411654,64486500
2018-05-17,27.350000,27.600000,25.469999,25.950001,24.075665,112487000
2018-05-18,25.010000,26.170000,24.959999,25.650000,23.797331,83206900
2018-05-21,26.100000,26.290001,24.940001,25.049999,23.240669,75971900
2018-05-22,24.809999,25.290001,24.150000,24.709999,22.971073,88109900
2018-05-23,24.230000,24.480000,23.270000,23.270000,21.632418,74622500
2018-05-24,20.049999,20.750000,19.650000,20.080000,18.666904,240343800
2018-05-25,20.650000,21.270000,19.660000,19.799999,18.406609,131188100
2018-05-28,19.200001,19.200001,16.910000,16.910000,15.719987,134504900
2018-05-29,18.000000,19.440001,17.600000,19.299999,17.941795,181509800
2018-05-30,18.389999,19.969999,18.129999,18.980000,17.644314,125430000
2018-06-01,19.559999,19.750000,14.900000,16.160000,15.022769,216954700
2018-06-04,17.290001,17.639999,17.049999,17.530001,16.296356,93547600
2018-06-05,17.360001,17.799999,16.590000,16.590000,15.422507,67006400
2018-06-06,16.469999,16.680000,15.870000,16.330000,15.180805,69496800
2018-06-07,16.000000,16.160000,14.930000,15.760000,14.650919,118752700
2018-06-08,15.810000,16.190001,15.060000,15.250000,14.176807,91461500
2018-06-11,15.500000,15.800000,15.130000,15.410000,14.325549,44872500
2018-06-12,15.480000,15.680000,15.240000,15.460000,14.372030,69592600
2018-06-13,15.420000,15.500000,14.740000,15.170000,14.102436,72301200
2018-06-14,15.330000,15.550000,15.050000,15.100000,14.037364,57324600
2018-06-15,15.030000,15.070000,14.470000,14.970000,13.916512,75239300
2018-06-18,14.770000,14.890000,14.500000,14.500000,13.479589,47363800
2018-06-19,14.260000,15.720000,14.170000,15.420000,14.334845,97301500
2018-06-20,15.840000,16.480000,15.800000,16.209999,15.069248,88397300
2018-06-21,16.090000,16.320000,15.100000,15.100000,14.037364,67884300
2018-06-22,15.410000,15.680000,15.010000,15.110000,14.046659,52184500
2018-06-25,15.200000,15.790000,15.060000,15.700000,14.595140,60347200
2018-06-26,15.900000,16.120001,15.530000,16.040001,14.911215,59595900
2018-06-27,16.100000,16.980000,16.059999,16.549999,15.385323,78095000
2018-06-28,16.719999,17.070000,16.330000,16.600000,15.431806,94960700
2018-06-29,16.850000,17.190001,16.730000,17.190001,15.980284,75735100
2018-07-02,16.990000,17.480000,16.900000,17.469999,16.240580,54545600
2018-07-03,17.740000,17.889999,17.459999,17.500000,16.268467,57456700
2018-07-04,17.379999,18.450001,17.240000,17.610001,16.370729,54211000
2018-07-05,18.600000,18.799999,17.650000,17.860001,16.603134,76084700
2018-07-06,17.969999,18.090000,17.650000,17.940001,16.677504,33878700
